AT;BE;BG;HR;CZ;DK_1;DK_2;EE;FI;FR;DE_LU;GR;HU;IE_SEM;IT_CALA;IT_CNOR;IT_CSUD;IT_NORD;IT_SARD;IT_SICI;IT_SUD;LV;LT;NL;PL;PT;RO;SK;SI;ES;SE_1;SE_2;SE_3;SE_4
16.45;16.45;16.949;16.45;16.45;16.45;16.45;16.949;16.949;16.45;16.45;18.02;16.45;18.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;16.949;16.949;16.45;14.334;13.0;16.949;16.45;16.45;13.333000000000002;10.842;10.842;16.45;16.45
16.091;16.091;16.45;16.091;16.091;16.091;16.091;16.45;16.45;16.091;16.091;17.5;16.091;18.4;17.476;17.476;17.476;17.476;17.476;17.476;17.476;16.45;16.45;16.091;14.159;12.6;16.45;16.091;16.091;13.0;10.905;10.905;16.091;16.091
16.306;16.306;16.091;16.306;16.306;16.306;16.306;16.091;16.091;16.306;16.306;17.476;16.306;17.9;18.02;18.02;18.02;18.02;18.02;18.02;18.02;16.091;16.091;16.306;14.158000000000001;12.0;16.091;16.306;16.306;12.6;11.068999999999999;11.068999999999999;16.306;16.306
17.142;16.663999999999998;16.306;17.375;16.642;16.773;16.773;16.306;16.306;16.646;16.773;18.02;18.043;17.9;19.0;19.0;19.0;19.0;19.0;19.0;19.0;16.306;16.306;16.679;17.074;13.556000000000001;16.306;17.136000000000003;17.142;12.0;11.883;11.883;16.773;16.773
17.499000000000002;16.663999999999998;18.1;17.788999999999998;16.959;16.661;16.661;16.773;16.773;16.688;16.661;26.997000000000003;17.262999999999998;19.1;19.490000000000002;19.490000000000002;19.490000000000002;19.490000000000002;19.490000000000002;19.490000000000002;19.490000000000002;16.773;16.773;16.657;16.772;15.63;18.1;16.913999999999998;17.499000000000002;13.556000000000001;11.690000000000001;11.690000000000001;16.661;16.661
17.127000000000002;17.095;20.106;18.443;16.585;17.072;17.072;16.661;16.661;17.122999999999998;17.072;35.417;20.109;19.6;20.038;20.038;20.038;20.038;20.038;20.038;20.038;16.661;16.661;17.082;16.797;16.901;20.106;17.859;17.801;15.63;11.549;11.549;17.072;17.072
16.902;16.897;20.28;17.094;16.823;16.893;16.893;17.072;17.072;16.901;16.893;36.917;17.338;17.7;20.0;20.0;20.0;20.0;20.0;20.0;20.0;17.072;17.072;16.895;15.996;16.099;20.28;17.009999999999998;17.0;16.901;12.0;12.0;16.893;16.893
16.099;16.099;17.362000000000002;16.099;16.099;16.099;16.099;16.893;16.893;16.099;16.099;34.45;16.099;17.8;19.974;19.974;19.974;19.974;19.974;19.974;19.974;16.893;16.893;16.099;16.099;15.209999999999999;17.362000000000002;16.099;16.099;16.099;12.092;12.092;16.099;16.099
14.962;14.962;16.099;14.962;14.962;14.962;14.962;16.099;16.099;14.962;14.962;34.917;14.962;15.753;19.502000000000002;19.502000000000002;19.502000000000002;19.502000000000002;19.502000000000002;19.502000000000002;19.502000000000002;16.099;16.099;14.962;14.962;14.991999999999999;16.099;14.962;14.962;15.209999999999999;11.997;11.997;14.962;14.962
13.469;13.104;14.962;13.558000000000002;13.503;13.099;13.105;14.962;14.962;13.15;13.099;34.3;13.666;12.8;18.988999999999997;18.988999999999997;18.988999999999997;18.988999999999997;18.988999999999997;18.988999999999997;18.988999999999997;14.962;14.962;13.062999999999999;14.306999999999999;13.253;14.962;13.738999999999999;13.516;14.991999999999999;11.972;11.972;13.105;13.105
11.943999999999999;11.469;13.66;12.218;11.903;11.427;11.427;13.105;13.105;11.51;11.427;27.076;12.219;9.5;17.357;17.357;17.357;17.357;17.357;17.357;17.357;13.105;13.105;11.442;13.252;11.5;13.66;12.370000000000001;12.078;13.253;11.427;11.427;11.427;11.427
10.397;9.376000000000001;9.096;10.657;10.495000000000001;9.366;9.366;11.427;11.427;9.501999999999999;9.366;24.381999999999998;10.959999999999999;3.0;14.999;14.999;14.999;14.999;14.999;14.999;14.999;11.427;11.427;9.248000000000001;12.825;11.998999999999999;9.096;11.17;10.532;11.5;9.366;9.366;9.366;9.366
10.51;8.017;10.942;9.997;9.034;8.089;8.288;9.366;9.366;8.203;8.089;14.999;10.138;0.1;12.15;12.15;12.15;12.15;12.15;12.15;12.15;9.366;9.366;8.007;13.034;10.0;10.942;10.138;9.918000000000001;11.998999999999999;8.288;8.288;8.288;8.288
9.084999999999999;6.9319999999999995;10.072;8.551;8.001000000000001;7.067;7.884;8.288;8.288;7.2219999999999995;7.067;15.168000000000001;8.556000000000001;0.22200000000000003;11.922;11.922;11.922;11.922;11.922;11.922;11.922;8.288;8.288;6.843999999999999;12.178;9.023;10.072;8.4;8.536;10.0;7.884;7.884;7.884;7.884
8.309999999999999;3.9579999999999997;8.526;7.662000000000001;7.787000000000001;4.0;6.993;7.884;7.884;4.391;4.0;21.628999999999998;7.904999999999999;-0.41500000000000004;10.0;10.0;10.0;10.0;10.0;10.0;10.0;7.884;7.884;3.7920000000000003;12.818999999999999;8.42;8.526;7.787000000000001;7.5040000000000004;9.023;6.993;6.993;6.993;6.993
